コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,企業名,業界
3346,2022/03,1343386000,102801000,102801000,-1574576000,2900000,516052000,7.2,7.7,21LADY,小売業
3347,2022/03,33612335000,11629843000,7614846000,5709255000,4750000000,-,294.96,22.7,トラスト,小売業
3349,2022/05,363052000000,190507000000,190501000000,181954000000,1387000000,3000000000,4810.89,52.5,コスモス薬品,小売業
3350,2022/12,5357296000,617518000,664170000,3891251000,501887000,1068499000,10.72,11.4,メタプラネット,卸売業
3352,2022/03,7761891000,5685156000,5685342000,4481552000,-,8120000,2500.93,73.2,バッファロー,小売業
3353,2023/02,27505000000,12607000000,12016406000,10557964000,170000000,6062910000,3207.15,43.8,メディカル一光グループ,小売業
3355,2022/12,62909126000,34315085000,30000967000,30189835000,7068643000,3514466000,1750.19,54.5,クリヤマHD,卸売業
3356,2022/03,5991613000,2439833000,2393965000,634025000,-,220431000,149.33,40.2,テリロジー,卸売業
3358,2022/03,2716311000,1389262000,1389975000,-795644000,100000000,469452000,228.03,50.9,ワイエスフード,小売業
3359,2022/09,5995751000,3353214000,3345179000,2335214000,740000000,551312000,316.49,55.8,cotta,卸売業
3360,2022/03,335074000000,122318000000,115899000000,91964000000,2401000000,29970000000,1253.72,35.3,シップヘルスケアHD,卸売業
3361,2022/04,26976470000,18164905000,17818617000,16078883000,-,536622000,888.92,67.3,トーエル,小売業
3370,2022/03,2933865000,2555000,4171000,-1283900000,279911000,2174825000,0.85,0.1,フジタコーポレーション,小売業
3371,2022/03,22794801000,15194966000,12079596000,12021257000,37076000,11836000,518.47,57.7,ソフトクリエイトHD,情報・通信業
3372,2022/03,4341314000,366643000,366401000,-1009989000,2820000000,517500000,26.62,8.4,関門海,小売業
3374,2022/03,25246940000,9494368000,9117709000,5257845000,-,1975982000,2722.78,37.6,内外テック,卸売業
3375,2022/03,5373798000,2429517000,2429857000,1774117000,-,785500000,1670.92,45.2,ZOA,小売業
3377,2022/11,12017339000,6925516000,6925286000,6081480000,1100000000,-,495.9,57.6,バイク王&カンパニー,卸売業
3382,2023/02,10550956000000,3648161000000,2981545000000,2532491000000,143568000000,936070000000,3933.93,32.9,セブン&アイHD,小売業
3384,2022/02,1561734000,296611000,295611000,-129953000,-,400300000,166.42,18.9,アークコア,卸売業
3386,2022/12,10313000000,8617000000,7521000000,5560000000,20000000,-,1384.92,78.1,コスモ・バイオ,卸売業
3387,2022/02,133605000000,30730000000,23788000000,4381000000,9121000000,32266000000,113.19,17.8,クリエイト・レストランツHD,小売業
3388,2022/03,44666159000,27328342000,25754383000,22204363000,225658000,-,2144.63,60.7,明治電機工業,卸売業
3390,2022/03,6817000000,2435000000,2435000000,91000000,-,-,26.78,35.7,INT,卸売業
3391,2022/05,562363000000,284046000000,241098000000,205714000000,-,39475000000,5314.45,45.9,ツルハHD,小売業
3392,2022/03,22945838000,6236870000,6118837000,2595085000,2330000000,7724304000,422.46,27.2,デリカフーズHD,卸売業
3393,2022/03,11378673000,4233119000,3984658000,3725483000,1847000000,815872000,484.26,37.1,スターティアHD,卸売業
3395,2022/03,48021601000,31147787000,31127559000,30807704000,-,-,1501.69,64.8,サンマルクHD,小売業
3396,2023/02,31543000000,19882000000,19873000000,16025000000,-,-,2791.26,63.0,フェリシモ,小売業
3397,2022/03,240840000000,69978000000,62024000000,31338000000,4024000000,43884000000,714.46,25.8,トリドールHD,小売業
3399,2023/01,8462000000,2461000000,2457419000,1893923000,80000000,1554290000,1005.24,29.1,丸千代山岡家,小売業
3401,2022/03,1207583000000,464811000000,405192000000,242332000000,110524000000,215972000000,2288.06,36.4,帝人,繊維製品
3402,2022/03,3043881000000,1499649000000,1405591000000,978980000000,279404000000,618637000000,878.1,46.2,東レ,繊維製品
3405,2022/12,1221533000000,668534000000,550282000000,399910000000,34480000000,179491000000,1932.37,52.9,クラレ,化学
3407,2022/03,3349075000000,1718815000000,1459381000000,1282325000000,239491000000,253785000000,1216.33,50.4,旭化成,化学
3409,2022/03,2070000000,1080371000,614516000,-886637000,431500000,184133000,62.88,52.1,北日本紡績,繊維製品
3415,2023/01,11195000000,5366000000,5339790000,5273731000,1100000000,697225000,116.83,47.9,TOKYO BASE,小売業
3416,2022/12,2335838000,909393000,883951000,354803000,-,59972000,403.89,37.9,ピクスタ,小売業
3417,2022/03,113954000000,22092000000,18411000000,14747000000,7180000000,300000000,1591.34,19.3,大木ヘルスケアHD,卸売業
3418,2022/07,8892967000,2367582000,2246701000,1137385000,1850000000,1422816000,253.68,25.3,バルニバービ,サービス業
3419,2022/10,1297705000,501796000,500591000,268280000,-,367329000,441.5,38.7,アートグリーン,卸売業
3420,2022/03,26208966000,19162081000,18381071000,17464227000,90000000,100000000,2601.32,73.0,ケー・エフ・シー,金属製品
3421,2022/07,59346485000,40766433000,40520390000,40190806000,-,-,2472.78,68.7,稲葉製作所,金属製品
3422,2022/03,46736000000,21080000000,15082000000,11202000000,6298000000,4438000000,1551.66,39.0,J-MAX,金属製品
3423,2022/03,23665278000,9953698000,9839585000,7810207000,300522000,2634544000,329.31,41.9,エスイー,金属製品
3426,2022/06,12888461000,9811562000,9800934000,9291530000,-,-,2459.16,76.1,アトムリビンテック,金属製品
3431,2022/03,61815000000,39091000000,28097000000,21582000000,-,-,4904.77,54.0,宮地エンジニアリンググループ,金属製品
3433,2022/03,69517000000,52459000000,48377000000,44166000000,-,2802000000,807.3,70.6,トーカロ,金属製品
3434,2022/03,56183000000,27924000000,23400000000,18247000000,3046000000,7517000000,2797.91,47.6,アルファ,金属製品
3435,2022/03,19283396000,14510106000,13962893000,13123223000,130188000,379041000,1806.23,73.8,サンコーテクノ,金属製品
3436,2022/12,892555000000,591484000000,518620000000,234319000000,30432000000,110617000000,1523.71,59.8,SUMCO,金属製品
3437,2022/03,9647880000,6252382000,6210631000,5371280000,130000000,-,3929.67,64.4,特殊電極,金属製品
3439,2022/06,16411098000,9067473000,8483678000,7608084000,1000000000,1950547000,1791.16,55.3,三ツ知,金属製品
3440,2022/08,14482132000,9727988000,9673948000,8113015000,500000000,2065020000,1495.47,66.8,日創プロニティ,金属製品
3441,2022/07,11617626000,5621693000,5093997000,3386684000,2520000000,1318610000,1217.94,48.4,山王,金属製品
3442,2022/03,6782521000,1685825000,607150000,-114251000,1787000000,739223000,1394.79,24.8,MIEコーポレーション,金属製品
3443,2022/03,133337000000,71921000000,67616000000,51605000000,5717000000,8138000000,12028.62,53.2,川田テクノロジーズ,金属製品
3444,2022/04,9774215000,5871207000,4608824000,2310015000,1166962000,256157000,486.03,60.1,菊池製作所,金属製品
3445,2022/12,127554681000,101473488000,44961061000,23690610000,3000000000,3514685000,1784.76,36.8,RS Technologies,金属製品
3446,2022/06,3227032000,2227717000,2227717000,623727000,-,597419000,379.91,69.0,ジェイテックコーポレーション,金属製品
3447,2022/03,22515684000,15158581000,15130740000,8211397000,1622952000,3234979000,1088.87,67.2,信和,金属製品
3449,2022/12,33052840000,22590311000,21369892000,20789015000,300000000,4471888000,1216.32,67.4,テクノフレックス,金属製品
3452,2022/12,56005000000,12043000000,11928000000,8114000000,7402000000,25366000000,613.62,21.4,ビーロット,不動産業
3454,2022/11,87643529000,21646338000,21469955000,18240953000,1156657000,50678274000,1536.28,24.6,ファーストブラザーズ,不動産業
3457,2022/06,65495000000,13852000000,13850000000,7079000000,9446000000,25027000000,706.03,21.1,And DoHD,不動産業
3458,2022/07,118248000000,36157000000,34706000000,22311000000,374000000,48790000000,1206.5,30.6,シーアールイー,不動産業
3461,2022/09,3632399000,2189249000,2188346000,1078233000,150000000,589045000,324.08,60.3,パルマ,不動産業
3464,2022/03,31982320000,8220436000,8057003000,6907163000,4272292000,12256952000,1113.8,25.4,プロパティエージェント,不動産業
3465,2022/03,163240761000,49037822000,44062396000,33631891000,56864048000,19658833000,2783.7,27.0,ケイアイスター不動産,不動産業
3467,2022/03,19491581000,4705628000,4705628000,3967136000,2515390000,5116833000,819.38,24.1,アグレ都市デザイン,不動産業
3469,2022/06,5034147000,2046789000,2048993000,1680922000,189400000,856799000,594.68,40.5,デュアルタップ,不動産業
3474,2022/12,4879292000,1903243000,1800416000,1364057000,-,1019469000,289.92,38.5,G-FACTORY,不動産業
3475,2022/10,24452256000,11471948000,11467319000,9335789000,2047500000,4648849000,399.13,46.9,グッドコムアセット,不動産業
3477,2022/03,7577258000,3221940000,3221940000,2962868000,2692000000,392721000,805.64,42.5,フォーライフ,不動産業
3479,2022/02,111280000000,39746000000,37505000000,2917000000,-,42028000000,907.14,34.0,ティーケーピー,不動産業
3480,2022/10,58938180000,26803351000,26294001000,19005179000,50000000,18405323000,2554.58,45.4,ジェイ・エス・ビー,不動産業
3482,2022/12,65704000000,14769000000,14564000000,14794000000,459000000,35564000000,906.06,22.2,ロードスターキャピタル,不動産業
3484,2022/03,11898440000,3327966000,3327966000,2480104000,-,-,188.3,28.0,テンポイノベーション,不動産業
3486,2022/12,32319788000,6446485000,6438812000,5531824000,4923932000,11020336000,808.76,19.9,グローバル・リンク・マネジメント,不動産業
3489,2022/03,16826262000,5501052000,5507199000,4230339000,434355000,7088632000,555.29,32.7,フェイスネットワーク,不動産業
3490,2022/02,3988851000,982020000,981211000,480233000,317630000,1398609000,1025.68,24.6,アズ企画設計,不動産業
3491,2022/10,55152000000,19316000000,19313000000,-23000000,5918000000,2937000000,527.36,35.0,GA technologies,不動産業
3494,2022/09,15378984000,3878001000,3852225000,1365079000,579000000,5782322000,2468.51,25.1,マリオン,不動産業
3495,2022/09,11511224000,4045439000,4017114000,3381327000,1880000000,2091632000,1501.17,35.1,香陵住販,不動産業
3496,2022/09,3036006000,1768013000,1742093000,1083398000,-,79566000,297.43,57.6,アズーム,不動産業
3497,2022/07,18823600000,65774000,65774000,-1596943000,5625870000,6822298000,20.3,0.3,LeTech,不動産業
3498,2022/08,30437272000,9360042000,9218229000,2529541000,3281230000,6186651000,1142.7,30.2,霞ヶ関キャピタル,不動産業
3501,2022/05,84801000000,33448000000,19711000000,11480000000,12399000000,5600000000,4470.45,33.4,住江織物,繊維製品
3504,2022/03,61409373000,47394399000,47808520000,48496664000,-,4000000000,3058.19,77.2,丸八HD,繊維製品
3512,2022/03,22789259000,17394374000,15408298000,12170393000,1600000000,-,906.52,74.7,日本フエルト,繊維製品
3513,2022/03,25732000000,18768128000,17320425000,12040180000,860000000,-,4095.88,72.9,イチカワ,繊維製品
3521,2022/03,6099893000,4582816000,4562652000,229578000,-,939796000,86.61,75.1,エコナックHD,不動産業
3524,2022/04,27573461000,6347606000,6463650000,4592378000,7540872000,7187553000,2386.96,22.5,日東製網,繊維製品
3526,2022/03,50283000000,17263000000,16989000000,7120000000,4960000000,6438000000,2868.12,34.3,芦森工業,繊維製品
3528,2022/03,29013302000,19821700000,19341911000,3602738000,8000000,6090682000,391.85,66.6,ミライノベート,不動産業
3529,2022/03,42234000000,32145000000,27945000000,-2630000000,-,1380000000,2005.92,76.1,アツギ,繊維製品
3536,2022/08,18914328000,2178402000,2184092000,447605000,10870000000,3581654000,71.83,11.5,アクサスHD,小売業
3537,2022/03,14480863000,6950376000,4263622000,3956794000,706347000,-,2011.64,48.0,昭栄薬品,卸売業
3538,2022/06,18630096000,8829660000,8829660000,7566625000,2900000000,1066856000,923.02,47.4,ウイルプラスHD,小売業
3539,2022/07,58874000000,35898000000,35531000000,30925000000,3936000000,616000000,1338.13,60.6,JMHD,小売業
3540,2022/12,30186000000,18280000000,18258000000,18249000000,7000000000,65000000,1821.63,60.3,歯愛メディカル,卸売業
3541,2022/08,2441553000,898886000,898886000,-179137000,68346000,341230000,40.81,36.8,農業総合研究所,サービス業
3542,2022/03,8020931000,5269589000,5254654000,3444129000,1000000000,-,501.98,65.7,ベガコーポレーション,小売業
3543,2022/02,97431000000,37615000000,37559000000,23870000000,2169000000,12077000000,813.98,38.5,コメダHD,卸売業
3544,2022/05,41398000000,8888000000,8857000000,6061000000,300000000,11734000000,637.41,21.2,サツドラHD,小売業
3546,2022/02,77523000000,28091000000,26923000000,12460000000,1418000000,13250000000,892.84,34.7,アレンザHD,小売業
3547,2022/11,7603143000,1939343000,1939343000,1172650000,533340000,1224080000,211.69,25.5,串カツ田中HD,小売業
3548,2022/02,38632000000,22437000000,19793000000,4168000000,2000000000,3000000000,562.33,52.4,バロックジャパンリミテッド,小売業
3549,2022/05,234201000000,86930000000,87015000000,83675000000,-,59907000000,2753.86,37.1,クスリのアオキHD,小売業
3550,2022/02,3756986000,2857326000,2857326000,2069740000,-,441440000,203.74,76.1,スタジオアタオ,小売業
3551,2022/03,54185381000,21599360000,16784125000,10076761000,13163310000,5726840000,2510.14,39.3,ダイニック,繊維製品
3553,2022/03,54275000000,34680000000,32477000000,29285000000,433000000,-,1402.14,62.3,共和レザー,化学
3556,2022/09,9624492000,2217021000,2341245000,-630751000,597284000,3184983000,179.43,22.9,リネットジャパングループ,小売業
3557,2022/02,5764224000,376367000,362667000,-1589455000,-,3895487000,109.53,6.2,ユナイテッド&コレクティブ,小売業
3558,2022/02,6973141000,4750078000,4746847000,1494001000,-,-,420.82,68.1,ロコンド,小売業
3559,2022/03,1608084000,1300924000,1300872000,1057264000,-,-,268.68,80.9,ピーバンドットコム,卸売業
3560,2022/08,5315235000,3863568000,3784059000,3095430000,-,-,1665.55,72.7,ほぼ日,小売業
3561,2022/03,15271597000,3800640000,3647716000,-366900000,2500000000,2877187000,140.69,24.8,力の源HD,小売業
3562,2022/02,7231393000,2738844000,2717241000,1633321000,400000000,961701000,415.34,37.6,No.1,卸売業
3563,2022/09,331982000000,65134000000,65117000000,47579000000,4009000000,88923000000,562.93,19.3,FOOD&LIFE COMPANIES,小売業
3565,2023/01,3897000000,2639000000,2612413000,2373553000,-,-,198.53,67.6,アセンテック,卸売業
3566,2022/12,3711302000,2722832000,2722832000,2002759000,-,-,272.52,73.4,ユニフォームネクスト,小売業
3569,2022/03,155493000000,91845000000,86873000000,66952000000,3813000000,10609000000,1685.34,58.2,セーレン,繊維製品
3571,2022/03,14713205000,11283270000,10912551000,7809177000,-,130000000,886.59,76.7,ソトー,繊維製品
3577,2022/03,13384024000,7155323000,6603196000,1538980000,1010000000,1525000000,1926.77,46.3,東海染工,繊維製品
3578,2022/03,2924844000,1441024000,1434826000,528611000,300000000,-,563.88,49.3,倉庫精練,繊維製品
3580,2022/03,47600000000,35839000000,35458000000,28705000000,-,-,876.35,75.0,小松マテーレ,繊維製品
3583,2022/03,9441206000,5416476000,5355068000,3109540000,-,1145700000,1957.25,57.4,オーベクス,繊維製品
3591,2022/03,299177000000,220868000000,217990000000,158940000000,10227000000,1626000000,3546.96,72.9,ワコールHD,繊維製品
3593,2022/03,98967000000,79996000000,76422000000,88523000000,-,7667000000,3296.27,80.8,ホギメディカル,繊維製品
3597,2022/06,40068511000,35041768000,34147619000,29338915000,-,-,12155.86,87.5,自重堂,繊維製品
3598,2022/03,11617888000,3596664000,3348871000,-2041300000,3421086000,1529687000,252.55,30.8,山喜,繊維製品
3600,2022/03,10775810000,9445808000,7900310000,6315211000,-,-,6318.49,80.7,フジックス,繊維製品
3604,2022/03,17155542000,5965271000,5430969000,3474020000,850000000,2216475000,1019.15,34.4,川本産業,繊維製品
3607,2022/08,13577541000,3136871000,2906021000,1153251000,3150000000,3900128000,354.04,23.1,クラウディアHD,繊維製品
3608,2022/02,140440000000,97736000000,93822000000,53236000000,114000000,9803000000,1075.42,69.2,TSIHD,繊維製品
3611,2022/03,51879000000,29444000000,23573000000,21173000000,4036000000,4804000000,2739.53,51.8,マツオカコーポレーション,繊維製品
3612,2022/03,248455000000,81102000000,78602000000,37077000000,45241000000,38189000000,2323.45,31.6,ワールド,卸売業
3622,2022/03,3122276000,2474135000,2474135000,1251371000,-,-,353.5,79.2,ネットイヤーグループ,情報・通信業
3623,2022/12,15161786000,2363313000,2263924000,1090927000,-,-,359.83,14.9,ビリングシステム,情報・通信業
3624,2022/09,1560513000,935130000,924670000,-100629000,-,-,87.89,59.5,アクセルマーク,情報・通信業
3625,2022/06,3692121000,2240771000,2227057000,172313000,-,3693000,316.22,60.7,テックファームHD,情報・通信業
3626,2022/03,476642000000,302993000000,275100000000,203256000000,35229000000,2213000000,1173.59,61.5,TIS,情報・通信業
3627,2022/02,8786113000,5593010000,5427378000,1650907000,89539000,1191212000,465.64,63.2,JNSHD,情報・通信業
3628,2022/06,2263523000,1286310000,1199927000,597122000,400000000,-,112.99,53.0,データホライゾン,情報・通信業
3632,2022/06,116730000000,90930000000,85094000000,86320000000,-,-,521.76,77.4,グリー,情報・通信業
3633,2022/12,11435946000,2689052000,2626009000,2500920000,1200000000,-,509.58,23.5,GMOペパボ,情報・通信業
3634,2022/03,1054642000,854635000,809398000,-68465000,-,-,329.99,76.7,ソケッツ,情報・通信業
3635,2022/03,219803000000,138101000000,134567000000,130954000000,-,-,437.16,62.6,コーエーテクモHD,情報・通信業
3636,2022/09,114652000000,71151000000,61220000000,50721000000,-,500000000,3879.99,55.0,三菱総合研究所,情報・通信業
3639,2022/06,3060026000,2189763000,2147988000,-218818000,30000000,109677000,339.92,71.3,ボルテージ,情報・通信業
3640,2022/03,20773298000,7412628000,7348290000,6736166000,3072000000,700684000,1476.85,35.6,電算,情報・通信業
3641,2022/03,13830000000,8771000000,8677000000,9173000000,-,-,951.77,62.9,パピレス,情報・通信業
3645,2022/05,3154441000,1737533000,1696609000,1634306000,630000000,111335000,193.73,54.1,メディカルネット,情報・通信業
3646,2022/03,3541506000,2838940000,2838940000,2926669000,-,100000000,515.26,80.2,駅探,情報・通信業
3647,2022/08,2932926000,2020379000,2020379000,512093000,-,102636000,119.95,68.9,ジー・スリーHD,情報・通信業
3648,2022/03,18600066000,12908856000,12274287000,10386107000,-,-,725.78,69.4,AGS,情報・通信業
3649,2022/12,4980780000,4042937000,4038706000,4372694000,-,-,157.63,81.1,ファインデックス,情報・通信業
3652,2022/03,3472189000,3095483000,3097700000,-597659000,-,-,983.23,89.2,ディジタルメディアプロフェッショナル,情報・通信業
3653,2022/10,3860130000,3399498000,3334983000,189395000,-,-,662.79,88.1,モルフォ,情報・通信業
3655,2022/06,6148543000,4847640000,4834510000,4313788000,-,-,221.07,78.8,ブレインパッド,情報・通信業
3656,2022/12,20859788000,13153557000,13101841000,2828756000,1000000000,1435575000,324.42,62.9,KLab,情報・通信業
3657,2023/01,27459000000,17693000000,17325035000,14409137000,3005970000,475453000,473.76,64.4,ポールトゥウィンHD,情報・通信業
3659,2022/12,1042849000000,867546000000,858193000000,703342000000,-,-,996.95,82.3,ネクソン,情報・通信業
3660,2022/06,22168000000,8652000000,7430000000,-983000000,1500000000,1728000000,118.32,38.1,アイスタイル,情報・通信業
3661,2022/03,14185000000,5396000000,5640000000,1816000000,-,-,141.01,35.9,エムアップHD,サービス業
3662,2022/07,14762000000,9882000000,9088000000,9315000000,-,-,533.16,66.9,エイチーム,情報・通信業
3663,2022/12,10156963000,8224794000,8076513000,3630802000,-,-,233.28,80.3,セルシス,情報・通信業
3664,2022/12,3170883000,751803000,735491000,-2268919000,200000000,1059240000,16.47,23.2,モブキャストHD,情報・通信業
3665,2023/01,12684000000,10145000000,10095195000,10746507000,-,-,253.77,79.7,エニグモ,情報・通信業
3666,2022/03,6803496000,5308949000,4711584000,4514586000,-,-,267.06,77.5,テクノスジャパン,情報・通信業
3667,2022/12,2250219000,1127299000,1123534000,-5635110000,550000000,-,65.16,49.9,enish,情報・通信業
3668,2022/09,83280000000,76575000000,75299000000,67028000000,-,-,597.23,91.9,コロプラ,情報・通信業
3670,2022/03,2924811000,1816352000,1814013000,1467621000,-,-,1517.2,62.1,協立情報通信,サービス業
3671,2022/12,6549505000,2936124000,2936124000,2201107000,1150000000,179580000,490.54,44.8,ソフトマックス,情報・通信業
3672,2022/09,1969630000,931797000,928011000,-1159367000,-,76675000,53.33,47.1,オルトプラス,情報・通信業
3673,2022/12,33535490000,23662116000,23631923000,11656730000,-,-,267.36,70.5,ブロードリーフ,情報・通信業
3674,2022/09,7350023000,4557085000,4042679000,2364516000,1100000000,166680000,429.77,62.0,オークファン,情報・通信業
3675,2022/06,13133240000,6135518000,5901472000,4537338000,443596000,1674373000,291.24,43.9,クロス・マーケティンググループ,情報・通信業
3676,2022/03,17565361000,7576339000,6776238000,9021248000,5421296000,169674000,323.81,39.9,デジタルハーツHD,サービス業
3677,2022/09,7795804000,5400965000,5010351000,4997123000,100000000,107500000,234.4,69.3,システム情報,情報・通信業
3678,2022/02,52509000000,16912000000,16447000000,3254000000,100000000,4443000000,1059.51,32.0,メディアドゥ,情報・通信業
3679,2022/03,21604000000,14929000000,14929000000,11224000000,637000000,1495000000,138.07,69.1,じげん,情報・通信業
3680,2022/12,8471270000,5947742000,5947742000,577825000,107112000,772235000,381.89,70.2,ホットリンク,サービス業
3681,2022/12,16891863000,5989529000,4629464000,2500230000,2627160000,953000000,243.12,34.9,ブイキューブ,情報・通信業
3682,2022/03,4442431000,3292865000,3281073000,2502280000,-,-,494.4,74.1,エンカレッジ・テクノロジ,情報・通信業
3683,2022/12,12705000000,7101000000,7023000000,4317000000,-,2595000000,632.47,55.3,サイバーリンクス,情報・通信業
3686,2022/03,3576559000,3161180000,3071190000,-1390825000,-,12706000,73.82,87.4,ディー・エル・イー,情報・通信業
3687,2022/09,8161977000,4584101000,4271117000,4536767000,-,1289014000,137.34,54.1,フィックスターズ,情報・通信業
3688,2022/12,50440000000,27471000000,26689000000,12741000000,147000000,-,1080.39,53.9,CARTA HOLDINGS,情報・通信業
3690,2022/09,3103664000,1804444000,1753239000,1137906000,250000000,394188000,283.27,57.1,イルグルム,サービス業
3691,2022/09,1617286000,781915000,781915000,-793568000,76284000,133788000,218.62,48.3,デジタルプラス,情報・通信業
3692,2022/03,2453912000,1723396000,1723396000,1437083000,-,-,213.56,70.2,FFRIセキュリティ,情報・通信業
3694,2022/03,7387477000,5248802000,5150952000,4054056000,514550000,-,93.68,69.8,オプティム,情報・通信業
3695,2022/12,3072220000,1908906000,1896318000,1251210000,-,-,1169.24,62.1,GMOリサーチ,情報・通信業
3696,2022/12,22597077000,9696089000,8761244000,4496200000,2450000000,2117828000,779.84,39.3,セレス,情報・通信業
3697,2022/08,40230000000,26007000000,25386000000,11655000000,20000000,2306000000,1452.14,63.6,SHIFT,情報・通信業
3698,2022/09,5016660000,3536213000,3475959000,2033795000,-,-,641.16,69.7,CRI・ミドルウェア,情報・通信業
3708,2022/03,125430000000,78562000000,69502000000,56056000000,10615000000,8949000000,5881.15,57.5,特種東海製紙,パルプ・紙
3710,2022/09,5822041000,4969421000,4853807000,4185545000,-,20008000,967.08,84.7,ジョルダン,情報・通信業
3712,2022/09,7132688000,5656578000,5656578000,5729597000,20000000,44057000,1688.74,79.3,情報企画,情報・通信業
3719,2022/12,985875000,856194000,873694000,-193180000,-,-,37.06,86.8,ジェクシード,情報・通信業
3723,2022/09,9690331000,8826837000,8826837000,8343645000,-,-,858.66,91.1,日本ファルコム,情報・通信業
3726,2022/09,1454083000,454116000,448630000,-943591000,300000000,221813000,62.05,30.9,フォーシーズHD,小売業
3727,2022/12,2822166000,2195039000,2173761000,219382000,100000000,-,98.12,77.0,アプリックス,情報・通信業
3733,2022/10,33734826000,27266535000,27151619000,25908669000,100000000,-,5214.02,80.8,宮崎勝,情報・通信業
3738,2022/03,241277000000,70483000000,70129000000,62137000000,-,5622000000,1263.28,29.2,ティーガイア,情報・通信業
3739,2022/03,1235500000,861638000,844522000,-859931000,-,40500000,64.99,69.0,コムシード,情報・通信業
3741,2022/03,8425208000,7090899000,7040769000,5987642000,36000000,-,1385.85,84.2,セック,情報・通信業
3744,2022/12,6022332000,1243534000,1263289000,-130975000,-,115500000,134.76,19.4,サイオス,情報・通信業
3747,2022/09,1609749000,1294543000,1282544000,-1097425000,100000000,-,178.49,79.7,インタートレード,情報・通信業
3750,2022/03,16006766000,3716452000,3501085000,462800000,164275000,8550792000,392.12,21.9,サイトリ細胞研究所,情報・通信業
3753,2022/03,1794626000,534243000,542543000,-1856925000,24822000,353332000,56.5,29.8,フライトHD,情報・通信業
3758,2022/12,20369000000,9292000000,8929000000,281000000,994000000,2930000000,406.73,44.3,アエリア,情報・通信業
3760,2022/05,1384817000,1023754000,427344000,-1281727000,60000000,140000000,73.54,31.2,ケイブ,情報・通信業
3762,2022/03,52503713000,20202276000,17018771000,11149198000,595000000,500000000,426.4,32.4,テクマトリックス,情報・通信業
3763,2022/03,13532933000,11336586000,11116884000,9827165000,-,-,719.53,82.4,プロシップ,情報・通信業
3765,2022/12,152210000000,132834000000,116498000000,195829000000,-,308000000,1894.35,77.0,ガンホー・オンライン・エンターテイメント,情報・通信業
3766,2022/03,5440131000,3878731000,3842559000,3259717000,-,-,1138.35,71.3,システムズ・デザイン,情報・通信業
3768,2022/03,6940053000,5894827000,5001976000,3054963000,-,95320000,774.16,84.1,リスクモンスター,情報・通信業
3769,2022/09,273407179000,89260651000,87122860000,49424496000,17000000000,6000000000,1148.73,31.9,GMOペイメントゲートウェイ,情報・通信業
3770,2022/04,7143327000,6520514000,6412132000,4826054000,-,-,508.46,91.2,ザッパラス,情報・通信業
3771,2022/03,12884657000,8134298000,8016769000,6950163000,-,622162000,972.05,63.0,システムリサーチ,情報・通信業
3772,2022/03,39386089000,10925843000,10925843000,9528546000,830046000,4445000000,640.76,27.7,ウェルス・マネジメント,不動産業
3773,2022/03,13172611000,11720772000,11954940000,-1052830000,-,-,634.94,88.7,アドバンスト・メディア,情報・通信業
3774,2022/03,231805000000,104621000000,103528000000,37024000000,16370000000,5500000000,573.16,44.7,インターネットイニシアティブ,情報・通信業
3775,2022/12,2204249000,1331303000,648883000,-1290961000,-,69650000,253.95,58.8,ガイアックス,情報・通信業
3776,2022/12,20523166000,11797476000,8055888000,676696000,500000000,3000766000,134.07,39.9,ブロードバンドタワー,情報・通信業
3777,2022/12,1828708000,1669097000,1670485000,-2844657000,-,18696000,7.11,91.3,FHTHD,情報・通信業
3778,2022/03,28396327000,8449929000,8313203000,5289923000,1451000000,3475436000,228.01,29.3,さくらインターネット,情報・通信業
3779,2022/03,512072000,372240000,372240000,-1310210000,-,-,35.54,72.7,ジェイ・エスコムHD,情報・通信業
3782,2022/12,1986729000,1088610000,1286732000,-1771379000,-,-,22.54,54.8,ディー・ディー・エス,情報・通信業
3784,2022/12,20748005000,13004221000,11641568000,10666331000,41800000,208139000,713.37,57.9,ヴィンクス,情報・通信業
3787,2022/03,2352069000,2261060000,2246615000,-1946736000,-,-,872.0,96.1,テクノマセマティカル,情報・通信業
3788,2022/12,14574304000,7956100000,7048311000,6294565000,1000000000,585000000,688.81,54.4,GMOグローバルサインHD,情報・通信業
3791,2022/05,11415446000,5458180000,5378279000,2946214000,-,200000000,1140.6,47.1,IGポート,情報・通信業
3793,2022/03,9653470000,4574075000,4522796000,953681000,146000000,2014000000,159.06,46.9,ドリコム,情報・通信業
3796,2022/03,2187542000,1711451000,1711451000,503460000,-,-,247.99,78.2,いい生活,情報・通信業
3798,2022/03,8775687000,7195228000,7012223000,5408985000,-,-,1252.66,79.9,ULSグループ,情報・通信業
3799,2022/03,10745099000,7455068000,7372027000,5511480000,375000000,-,928.41,69.4,キーウェアソリューションズ,情報・通信業
3800,2022/03,14364017000,10969281000,10607791000,8423095000,-,-,1457.71,76.4,ユニリタ,情報・通信業
3802,2022/03,1346622000,1143160000,1111032000,555550000,-,-,301.03,84.9,エコミック,情報・通信業
3803,2022/03,767520000,337534000,297815000,42269000,33336000,106664000,167.41,44.0,イメージ情報開発,情報・通信業
3804,2022/10,5899569000,3579349000,3580686000,2621096000,-,433350000,559.03,60.7,システムディ,情報・通信業
