コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,企業名,業界
3004,2022/03,23586000000,3432000000,2810000000,335000000,9782000000,4912000000,846.62,14.6,神栄,卸売業
3010,2022/03,12035678000,192600000,181807000,-3808387000,1099400000,6391845000,1.99,1.5,ポラリスHD,サービス業
3011,2022/03,9136429000,2336750000,683391000,548549000,600000000,2962276000,145.88,25.4,バナーズ,小売業
3020,2022/03,16090000000,8529000000,8453000000,7162000000,-,1063000000,3127.18,52.5,アプライド,小売業
3021,2022/05,6835287000,2535814000,2534946000,1643903000,-,1767390000,497.7,37.1,パシフィックネット,小売業
3023,2022/03,31387000000,19156000000,19000000000,15269000000,1690000000,2904000000,1647.56,61.0,ラサ商事,卸売業
3024,2022/03,15580765000,4368019000,4315719000,2884255000,-,1042522000,1111.05,28.0,クリエイト,卸売業
3028,2022/06,193299000000,111328000000,110790000000,74183000000,-,3000000000,2869.88,57.6,アルペン,小売業
3030,2022/02,7661095000,2573684000,2573684000,1020077000,800000000,2698050000,204.62,33.6,ハブ,小売業
3031,2022/04,14060831000,5364588000,5289361000,2372888000,-,1020000000,238.12,37.6,ラクーンHD,卸売業
3032,2022/03,3362344000,789769000,711042000,124171000,800560000,509271000,304.12,22.7,ゴルフ・ドゥ,小売業
3034,2022/03,95984000000,43881000000,43849000000,29798000000,-,13952000000,1189.69,45.7,クオールHD,小売業
3035,2022/08,8378262000,3618528000,3525369000,2687277000,1060850000,76730000,670.57,43.2,ケイティケイ,卸売業
3036,2022/03,176437000000,57331000000,50431000000,40563000000,31590000000,18525000000,1889.5,32.2,アルコニックス,卸売業
3038,2022/10,180275000000,97220000000,95074000000,93061000000,8217000000,26317000000,433.53,52.7,神戸物産,卸売業
3040,2022/12,19261000000,9615000000,9637000000,8241000000,133000000,-,518.25,49.8,ソリトンシステムズ,情報・通信業
3041,2022/06,2435062000,522894000,488948000,362285000,350000000,767377000,120.74,20.1,ビューティ花壇,卸売業
3042,2022/03,1354024000,1110259000,958275000,7036000,-,-,144.39,82.0,セキュアヴェイル,情報・通信業
3043,2022/05,1181243000,278437000,279128000,127514000,-,179145000,189.41,23.6,モジュレ,卸売業
3045,2022/08,6825898000,5258133000,5258133000,4703112000,-,449600000,2447.08,77.0,カワサキ,卸売業
3046,2022/08,54721000000,20406000000,20051000000,18623000000,1869000000,131000000,874.29,37.3,ジンズHD,小売業
3047,2022/12,5600748000,854784000,852683000,724483000,2150000000,646741000,356.32,15.3,TRUCK-ONE,卸売業
