relative_time,AccX
0,3.354075164794922
55,2.878514099121094
121,3.151546325683594
187,3.0629306030273438
254,3.183879089355469
320,4.398004302978515
387,5.3263737487792975
454,7.292235717773438
521,10.21475830078125
587,4.655618591308594
654,-6.5590603637695315
720,-16.70855438232422
787,-16.349600830078124
854,-13.089380493164063
920,-7.708819427490234
987,0.888402557373047
1054,8.549920349121095
1121,18.310972137451174
1187,19.700831909179687
1254,15.715669097900392
1321,14.538067932128907
1387,19.053577880859375
1454,32.830628356933595
1521,37.1850732421875
1587,30.503717193603517
1654,8.877139892578125
1721,-5.0428633117675785
1787,-6.4658042907714846
1854,-29.887299041748047
1920,2.032922515869141
1987,2.308499450683594
2054,-6.466103668212891
2121,-10.396181030273437
2187,-24.711063079833984
2254,-0.021405487060546877
2321,-1.4862593078613282
2387,10.873089294433594
2454,11.385773162841797
2520,7.443870391845704
2587,10.705587615966797
2654,6.538253631591798
2721,14.850617980957033
2787,10.646011505126953
2854,3.147804107666016
2921,7.471712493896485
2987,8.998836822509766
3054,11.73604476928711
3121,16.748970336914063
3188,16.87725357055664
3254,3.315754852294922
3321,-0.30910720825195315
3387,-5.413791961669922
3454,-16.64867889404297
3521,-14.711856536865236
3587,1.3912069702148437
3654,-0.031734008789062504
3721,2.8192373657226564
3788,0.9964778137207032
3854,0.5426216125488281
3921,1.4001882934570313
3988,0.7153623962402345
4054,0.626297607421875
4121,0.5751040649414063
4188,0.8271798706054688
4255,1.0985655212402343
4322,2.468367004394531
