relative_time,AccX
0,4.833897857666016
65,4.69184326171875
132,4.595892791748047
199,4.913981323242187
265,4.628075866699219
332,5.8389079284667975
399,6.245163116455078
465,8.560099182128907
532,7.072792053222656
599,4.238885192871094
665,2.712060241699219
732,1.0267149353027345
798,-1.901346130371094
865,-5.189707946777344
932,-11.19237533569336
999,-13.426778869628906
1065,-13.355976104736328
1132,-7.695946197509766
1199,-1.1466156005859376
1265,7.098688201904297
1332,13.133987731933594
1399,14.678326263427735
1465,13.358071746826173
1532,15.81521209716797
1598,14.301260375976563
1665,15.765665130615234
1732,16.689094848632813
1799,19.90156448364258
1865,22.145398406982423
1932,17.905465393066407
1999,16.975000305175783
2065,2.466720428466797
2132,-5.157375183105469
2199,-8.979227600097657
2265,-2.1698876953125
2332,4.545148315429688
2399,0.4939727783203125
2465,-1.4015354919433594
2532,2.5343797302246096
2599,10.826685791015626
2665,14.253060607910157
2732,17.77763122558594
2798,14.394217071533204
2865,21.669687652587893
2932,15.40132278442383
2999,14.835499420166016
3065,15.34099822998047
3132,11.059002685546876
3199,8.954678649902345
3265,10.008636932373047
3332,10.037077789306641
3398,11.89980422973633
3465,13.509556732177735
3532,12.94073959350586
3598,9.730066223144531
3665,0.4581971740722656
3732,-0.40550674438476564
3799,-1.2070898437500002
3865,-3.683090972900391
3932,-1.32205078125
3999,-0.767603759765625
4065,0.8304730224609376
4132,-0.22483245849609376
4199,0.5691165161132813
4265,-0.140108642578125
4332,-0.40386016845703127
4399,-0.46193939208984375
4465,0.0401165771484375
4532,-0.012274475097656251
