2023/07/12 21:36:55,Not Detected
2023/07/12 21:36:56,Not Detected
2023/07/12 21:36:57,Not Detected
2023/07/12 21:36:58,Not Detected
2023/07/12 21:36:59,Not Detected
2023/07/12 21:37:00,Not Detected
2023/07/12 21:37:01,Not Detected
2023/07/12 21:37:02,Not Detected
2023/07/12 21:37:03,Not Detected
2023/07/12 21:37:04,Not Detected
2023/07/12 21:37:05,Not Detected
2023/07/12 21:37:06,Not Detected
2023/07/12 21:37:07,Not Detected
2023/07/12 21:37:08,Not Detected
2023/07/12 21:37:09,Not Detected
2023/07/12 21:37:10,Not Detected
2023/07/12 21:37:11,Not Detected
2023/07/12 21:37:12,Not Detected
2023/07/12 21:37:13,Not Detected
2023/07/12 21:37:14,Not Detected
2023/07/12 21:37:15,Not Detected
2023/07/12 21:37:16,Not Detected
2023/07/12 21:37:17,Not Detected
2023/07/12 21:37:18,Not Detected
2023/07/12 21:37:19,Not Detected
2023/07/12 21:37:20,Not Detected
2023/07/12 21:37:21,Not Detected
2023/07/12 21:37:22,Not Detected
2023/07/12 21:37:23,Not Detected
2023/07/12 21:37:24,Not Detected
2023/07/12 21:37:25,Detected
2023/07/12 21:37:26,Not Detected
2023/07/12 21:37:27,Not Detected
2023/07/12 21:37:28,Not Detected
2023/07/12 21:37:29,Not Detected
2023/07/12 21:37:30,Not Detected
2023/07/12 21:37:31,Not Detected
2023/07/12 21:37:32,Not Detected
2023/07/12 21:37:33,Not Detected
2023/07/12 21:37:34,Not Detected
2023/07/12 21:37:35,Not Detected
2023/07/12 21:37:36,Not Detected
2023/07/12 21:37:37,Not Detected
2023/07/12 21:37:38,Not Detected
2023/07/12 21:37:39,Not Detected
2023/07/12 21:37:40,Not Detected
2023/07/12 21:37:41,Not Detected
2023/07/12 21:37:42,Not Detected
2023/07/12 21:37:43,Not Detected
2023/07/12 21:37:44,Not Detected
2023/07/12 21:37:45,Not Detected
2023/07/12 21:37:46,Not Detected
2023/07/12 21:37:47,Not Detected
2023/07/12 21:37:48,Not Detected
2023/07/12 21:37:49,Not Detected
2023/07/12 21:37:50,Not Detected
2023/07/12 21:37:51,Not Detected
2023/07/12 21:37:52,Not Detected
2023/07/12 21:37:53,Not Detected
2023/07/12 21:37:54,Not Detected
2023/07/12 21:37:55,Not Detected
2023/07/12 21:37:56,Not Detected
2023/07/12 21:37:57,Not Detected
2023/07/12 21:37:58,Not Detected
2023/07/12 21:37:59,Not Detected
2023/07/12 21:38:00,Not Detected
2023/07/12 21:38:01,Not Detected
2023/07/12 21:38:02,Not Detected
2023/07/12 21:38:03,Not Detected
2023/07/12 21:38:04,Not Detected
2023/07/12 21:38:05,Not Detected
2023/07/12 21:38:06,Not Detected
